sample_index,mismatch
1,3.684952389449e-05
2,1.455470919609e-05
3,2.993550151587e-05
4,9.870529174805e-05
5,2.378225326538e-05
6,2.148747444153e-05
7,1.865997910500e-05
8,7.992237806320e-05
9,6.269663572311e-05
10,2.327561378479e-05
11,2.992153167725e-05
12,3.956258296967e-05
13,4.395842552185e-05
14,2.894736826420e-05
15,2.622604370117e-05
16,3.042817115784e-05
17,6.684660911560e-05
18,3.123283386230e-05
19,3.910064697266e-05
20,3.851950168610e-05
21,3.242492675781e-05
22,6.604916416109e-05
23,6.040930747986e-05
24,1.776218414307e-05
25,5.293637514114e-05
26,3.528594970703e-05
27,3.251433372498e-05
28,2.109259366989e-05
29,4.470325075090e-05
30,2.521276473999e-05
31,3.217905759811e-05
32,3.419944550842e-05
33,2.861022949219e-05
34,3.960728645325e-05
35,7.639080286026e-05
36,4.031509160995e-05
37,3.240106161684e-05
38,5.026161670685e-05
39,3.735721111298e-05
40,2.574920654297e-05
41,6.590038537979e-05
42,2.020597457886e-05
43,7.151812314987e-05
44,3.594905138016e-05
45,2.574920654297e-05
46,1.963600516319e-05
47,2.832151949406e-05
48,4.045909736305e-05
49,3.026239573956e-05
50,2.609007060528e-05
51,8.273124694824e-05
52,2.820789813995e-05
53,2.494454383850e-05
54,2.845562994480e-05
55,2.496130764484e-05
56,2.864003181458e-05
57,2.676248550415e-05
58,4.911422729492e-05
59,2.007186412811e-05
60,3.618001937866e-05
61,5.149841308594e-05
62,2.318620681763e-05
63,6.020069122314e-05
64,3.570318222046e-05
65,1.433514989913e-05
66,3.978086169809e-05
67,8.060038089752e-05
68,1.766439527273e-05
69,2.327561378479e-05
70,4.948675632477e-05
71,3.723218105733e-05
72,3.112852573395e-05
73,2.124905586243e-05
74,2.326071262360e-05
75,5.898112431169e-05
76,3.120303153992e-05
77,8.356571197510e-05
78,1.883506774902e-05
79,2.571940422058e-05
80,2.924352884293e-05
81,3.528594970703e-05
82,2.264976501465e-05
83,4.492513835430e-05
84,3.862380981445e-05
85,3.862380981445e-05
86,4.215852823108e-05
87,3.725290298462e-05
88,3.681436646730e-05
89,3.486871719360e-05
90,2.270005643368e-05
91,4.434585571289e-05
92,4.243850708008e-05
93,3.117322921753e-05
94,3.004528116435e-05
95,2.729892730713e-05
96,3.050267696381e-05
97,6.319582462311e-05
98,2.157688140869e-05
99,3.647804260254e-05
100,5.030620377511e-05
