sample_index,mismatch
1,5.657538771629e-03
2,5.814447999001e-03
3,4.161864984781e-03
4,6.788656115532e-03
5,1.077083498240e-02
6,3.061893628910e-03
7,1.776602584869e-03
8,6.670236587524e-03
9,7.830015383661e-03
10,2.066788077354e-02
11,6.485458463430e-03
12,2.114688977599e-02
13,6.626531481743e-03
14,5.920857191086e-03
15,1.045985985547e-02
16,4.253827501088e-03
17,9.053731337190e-03
18,6.043766159564e-03
19,5.301233381033e-03
20,5.208894610405e-03
21,7.722128182650e-03
22,6.905231624842e-03
23,6.625249981880e-03
24,6.473342888057e-03
25,8.459393866360e-03
26,4.155699163675e-03
27,4.999682307243e-03
28,2.877719700336e-03
29,1.558490842581e-02
30,4.230320453644e-03
31,9.024526923895e-03
32,1.714926213026e-03
33,9.543586522341e-03
34,9.036143310368e-03
35,5.995836108923e-03
36,5.876813083887e-03
37,3.913241438568e-03
38,1.070319674909e-02
39,4.851497244090e-03
40,3.044715849683e-03
41,7.293514907360e-03
42,4.824701696634e-03
43,4.292119294405e-03
44,6.120849866420e-03
45,4.428513348103e-03
46,4.539821296930e-03
47,1.036268845201e-02
48,6.452396512032e-03
49,9.043856523931e-03
50,1.944099552929e-03
51,4.071429371834e-03
52,1.756144315004e-02
53,7.210522890091e-03
54,6.053937133402e-03
55,7.058456540108e-03
56,3.977984189987e-03
57,3.136698156595e-03
58,3.335703164339e-03
59,5.067948251963e-03
60,3.697067499161e-03
61,1.084949076176e-02
62,6.754941772670e-03
63,7.606185041368e-03
64,4.951572045684e-03
65,5.989417433739e-03
66,5.714394152164e-03
67,9.468618780375e-03
68,7.357295602560e-03
69,9.416475892067e-03
70,1.058934815228e-02
71,5.463715642691e-03
72,7.828082889318e-03
73,3.928024321795e-03
74,6.260156631470e-03
75,2.017064718530e-03
76,4.062946885824e-03
77,1.146801840514e-02
78,6.406553089619e-03
79,5.195468664169e-03
80,7.940679788589e-03
81,2.458598464727e-03
82,1.232066750526e-02
83,4.117671865970e-03
84,7.300541736186e-03
85,3.971081227064e-03
86,8.355788886547e-03
87,7.631649728864e-03
88,2.569720149040e-03
89,3.223426640034e-03
90,8.238019421697e-03
91,1.263673696667e-02
92,8.938779123127e-03
93,9.581889025867e-03
94,1.049109920859e-02
95,5.250857211649e-03
96,4.352606832981e-03
97,5.714986473322e-03
98,5.668201949447e-03
99,4.279077053070e-03
100,1.147025916725e-02
