sample_index,mismatch
1,9.242237210274e-01
2,8.801447153091e-01
3,8.795150518417e-01
4,2.469750881195e+00
5,8.707647919655e-01
6,1.023782253265e+00
7,7.513012886047e-01
8,7.204208374023e-01
9,5.377264976501e+00
10,8.308838605881e-01
11,1.491846561432e+00
12,6.928721666336e-01
13,7.294859886169e-01
14,1.124063873291e+01
15,3.482199668884e+00
16,3.535645246506e+00
17,1.253091812134e+01
18,3.687349319458e+00
19,8.021616935730e-01
20,6.939616799355e-01
21,8.598335981369e-01
22,9.348700046539e-01
23,7.564070129395e+01
24,1.060971379280e+00
25,7.382853627205e-01
26,7.719177007675e-01
27,1.456490635872e+00
28,3.691604137421e+00
29,5.059774398804e+00
30,1.944274902344e+00
31,9.875467419624e-01
32,4.880574703217e+00
33,3.622635841370e+00
34,1.127783656120e+00
35,8.729093670845e-01
36,5.570010542870e-01
37,1.215799808502e+00
38,1.076313114166e+01
39,7.485811114311e-01
40,1.397348880768e+00
41,8.850990533829e-01
42,1.003579616547e+00
43,5.420112609863e-01
44,5.215717315674e+00
45,9.696796536446e-01
46,4.506825447083e+00
47,5.736103057861e-01
48,7.874667358398e+01
49,2.379344635010e+02
50,1.215263290405e+02
51,6.857533454895e-01
52,7.712416648865e-01
53,1.998582482338e+00
54,1.361924171448e+00
55,9.441495537758e-01
56,7.138037681580e-01
57,1.194737315178e+00
58,5.975813388824e+00
59,6.700783967972e-01
60,3.957743406296e+00
61,7.463243603706e-01
62,4.308133602142e+00
63,5.321732997894e+00
64,5.074965476990e+00
65,8.545492887497e-01
66,1.374935455322e+02
67,8.425379395485e-01
68,7.824532389641e-01
69,1.041408181190e+00
70,5.553645610809e+00
71,1.117662239075e+01
72,8.548624420166e+01
73,4.606379508972e+00
74,9.168779373169e+00
75,6.551689505577e-01
76,3.338081121445e+00
77,3.408942461014e+00
78,8.532698631287e+00
79,1.147665619850e+00
80,3.447976303101e+01
81,9.837135076523e-01
82,2.230906009674e+00
83,1.210784244537e+01
84,1.122173666954e+00
85,9.630664587021e-01
86,2.303107500076e+00
87,1.338355779648e+00
88,2.561048984528e+00
89,1.764990568161e+00
90,1.032462477684e+00
91,1.071298904419e+02
92,7.666726708412e-01
93,1.609138369560e+00
94,5.357638359070e+00
95,4.681992530823e+00
96,8.102136850357e-01
97,4.968947410583e+00
98,7.384216785431e-01
99,5.573160052299e-01
100,9.166711568832e-01
