sample_index,mismatch
1,4.276955127716e-01
2,5.053207278252e-03
3,3.736019134521e-03
4,1.863594353199e-02
5,3.979206085205e-03
6,7.617436349392e-03
7,2.243028581142e-01
8,4.703977704048e-02
9,3.470511734486e-01
10,3.497607111931e-01
11,2.876736223698e-03
12,2.247359603643e-03
13,5.487531423569e-03
14,7.919228821993e-02
15,8.225512504578e-02
16,3.570079803467e-03
17,3.892938196659e-01
18,3.387488424778e-03
19,7.058243751526e-01
20,3.471732139587e-02
21,5.632191896439e-03
22,1.137009263039e-02
23,6.786704063416e-03
24,2.510577440262e-03
25,2.200015634298e-01
26,7.955852895975e-03
27,5.388304591179e-03
28,2.683509886265e-02
29,2.442598342896e-03
30,1.321412250400e-02
31,4.680871963501e-03
32,2.495646476746e-03
33,4.245078861713e-01
34,5.509233474731e-02
35,3.881454467773e-03
36,2.087442576885e-02
37,5.433082580566e-03
38,2.729415893555e-03
39,2.959551289678e-02
40,7.129058241844e-03
41,2.488015219569e-03
42,3.563785851002e-01
43,5.854161381721e-01
44,7.520898580551e-01
45,4.663944244385e-03
46,7.485046982765e-03
47,1.233813315630e-01
48,3.292560577393e-03
49,3.010749816895e-03
50,6.427855491638e-01
51,3.534159390256e-03
52,2.395153045654e-03
53,9.576072916389e-03
54,3.252033516765e-02
55,3.240723609924e-01
56,3.845766186714e-03
57,4.781093448400e-03
58,3.617994487286e-03
59,4.800933599472e-02
60,9.272430092096e-03
61,4.699707031250e-03
62,1.781068742275e-02
63,6.664989590645e-01
64,8.794733881950e-01
65,1.341626048088e-02
66,1.040776818991e-02
67,2.178594470024e-03
68,4.574487805367e-01
69,5.592270754278e-03
70,1.133995205164e-01
71,1.545365154743e-02
72,3.840759396553e-03
73,4.981043748558e-03
74,2.640989422798e-02
75,4.842758178711e-03
76,2.838931977749e-02
77,3.587209880352e-01
78,6.720006465912e-03
79,5.488470196724e-03
80,2.992630004883e-03
81,4.178345203400e-03
82,7.617045044899e-01
83,1.729328930378e-02
84,2.570321559906e-01
85,6.394740343094e-01
86,3.922462463379e-03
87,3.645896911621e-03
88,6.192371249199e-03
89,8.617846667767e-02
90,1.162280291319e-01
91,4.027458280325e-02
92,3.229987621307e-02
93,5.555912852287e-03
94,4.288211464882e-03
95,1.586674898863e-02
96,1.469934266061e-02
97,1.238293945789e-02
98,9.117476642132e-03
99,6.349123120308e-01
100,5.593388527632e-02
